file,name,tokens,mapped_tokens,events,sequence,unknown_tokens
FS-Jump3D__json__Skater_A__Flip__Flip_5_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_5,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_6_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_6,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_7_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_7,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_8_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_8,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Flip__Flip_9_event_sequence.json,FS-Jump3D__json__Skater_A__Flip__Flip_9,INSIDE_EDGE BACKWARD_TAKEOFF TOE_PICK LAND_DIFF,"[""edge inside"", ""backward jump"", ""toe_pick yes"", ""land diff""]",e4 e2 e5 e8,"[""e4"", ""e2"", ""e5"", ""e8""]",
FS-Jump3D__json__Skater_A__Loop__Loop_1_event_sequence.json,FS-Jump3D__json__Skater_A__Loop__Loop_1,INSIDE_EDGE BACKWARD_TAKEOFF NO_TOE_PICK LAND_SAME,"[""edge inside"", ""backward jump"", ""toe_pick no"", ""land same""]",e4 e2 e6 e7,"[""e4"", ""e2"", ""e6"", ""e7""]",
FS-Jump3D__json__Skater_A__Loop__Loop_10_event_sequence.json,FS-Jump3D__json__Skater_A__Loop__Loop_10,INSIDE_EDGE BACKWARD_TAKEOFF NO_TOE_PICK LAND_SAME,"[""edge inside"", ""backward jump"", ""toe_pick no"", ""land same""]",e4 e2 e6 e7,"[""e4"", ""e2"", ""e6"", ""e7""]",
FS-Jump3D__json__Skater_A__Loop__Loop_2_event_sequence.json,FS-Jump3D__json__Skater_A__Loop__Loop_2,INSIDE_EDGE BACKWARD_TAKEOFF NO_TOE_PICK LAND_SAME,"[""edge inside"", ""backward jump"", ""toe_pick no"", ""land same""]",e4 e2 e6 e7,"[""e4"", ""e2"", ""e6"", ""e7""]",
FS-Jump3D__json__Skater_A__Loop__Loop_3_event_sequence.json,FS-Jump3D__json__Skater_A__Loop__Loop_3,INSIDE_EDGE BACKWARD_TAKEOFF NO_TOE_PICK LAND_SAME,"[""edge inside"", ""backward jump"", ""toe_pick no"", ""land same""]",e4 e2 e6 e7,"[""e4"", ""e2"", ""e6"", ""e7""]",
FS-Jump3D__json__Skater_A__Loop__Loop_4_event_sequence.json,FS-Jump3D__json__Skater_A__Loop__Loop_4,INSIDE_EDGE BACKWARD_TAKEOFF NO_TOE_PICK LAND_SAME,"[""edge inside"", ""backward jump"", ""toe_pick no"", ""land same""]",e4 e2 e6 e7,"[""e4"", ""e2"", ""e6"", ""e7""]",
FS-Jump3D__json__Skater_A__Loop__Loop_5_event_sequence.json,FS-Jump3D__json__Skater_A__Loop__Loop_5,INSIDE_EDGE BACKWARD_TAKEOFF NO_TOE_PICK LAND_SAME,"[""edge inside"", ""backward jump"", ""toe_pick no"", ""land same""]",e4 e2 e6 e7,"[""e4"", ""e2"", ""e6"", ""e7""]",
